id,name,country,lat,long,usedstart,usedend
3,Claxton Bay,TTO,10.3506,-61.4628,1,21123
7,Falkenberg,SWE,56.8972,12.4897,2,1757
8,Jiangmen,CHN,22.6667,113.0833,7,7124
16,Montego Bay,JAM,18.4619,-77.9344,10,1817
17,Boca Chica,DOM,18.445,-69.5841,18,1818
20,Omaezaki,JPN,34.6,138.2333,22,3098
21,Bahia Blanca,ARG,-38.7761,-62.2869,34,849
24,Tuticorin,IND,8.8,78.1833,117,2566
25,Pascagoula,USA,30.35,-88.5667,122,994
28,Marina di Carrara,ITA,44.0397,10.0402,145,4235
42,Immingham,GBR,53.6306,-0.1902,157,122
43,Mazatlan,MEX,23.1833,-106.4333,207,1657
47,Providence,USA,41.8056,-71.4019,222,4237
50,Kozhikode,IND,11.2667,75.7667,234,14881
52,Lahad Datu,MYS,5.0239,118.3494,235,410
53,Grundartangi,ISL,64.35,-21.7833,250,1820
70,Warrenpoint,GBR,54.1014,-6.2572,274,15222
73,St. Nazaire,FRA,47.2803,-2.2019,278,4238
90,Apapa-Lagos,NGA,6.4383,3.3886,279,34
93,Kollafjordur,FRO,62.1167,-6.9,370,7051
100,Manchester(GBR),GBR,53.4667,-2.2833,371,7111
112,Belledune,CAN,47.9167,-65.85,372,2389
114,Belle Chasse,USA,29.85,-89.9833,385,2980
115,Port Klang,MYS,3,101.4,410,35
116,Port Edward,CAN,54.2286,-130.2916,585,4866
119,Navlakhi,IND,22.9667,70.45,608,5563
120,Jayapura,IDN,-2.5333,140.7167,633,3580
123,Flekkefjord,NOR,58.3,6.6667,639,30840
124,Tolagnaro,MDG,-25.0333,47,640,5747
126,Manchester(USA),USA,47.55,-122.5333,642,9408
127,Kvinesdal,NOR,58.3,7,643,280
130,Port Elizabeth,ZAF,-33.9667,25.6333,649,281
132,Katagami,JPN,34.7167,134.2167,687,14883
134,Hakodate,JPN,41.8248,140.6806,691,787
139,Ras Lanuf,LBY,30.5167,18.5667,726,4244
143,Helsinki,FIN,60.1586,24.9439,727,1270
147,Batu Licin,IDN,-3.45,116,750,3778
151,Chittagong,BGD,22.322,91.8173,751,412
153,Abbot Point,AUS,-19.885,148.0781,787,1921
161,Sunderland,GBR,54.9103,-1.3661,844,5283
163,Forno,BRA,-23.0167,-42,849,14672
166,Marseilles,FRA,43.3298,5.3533,853,4245
167,Salalah,OMN,16.9333,54,882,413
169,Chittagong Roads,BGD,21.925,91.3786,951,414
173,Glomfjord,NOR,66.8164,13.9441,985,35390
174,East London,ZAF,-33.0333,27.9167,989,282
181,Casablanca,MAR,33.6069,-7.6008,994,853
185,Jebel Ali,ARE,24.9902,55.0608,1083,36
187,La Pallice,FRA,46.1553,-1.2217,1210,250
