VESSEL ID,VESSEL_NAME,VESSEL_TYPE,PLACE_NAME,COUNTRY_NAME,AREA_NAME,ARRIVAL_DATE,DEPARTURE_DATE
121462,Berezovneft,product tanker,Vanino,Russian Federation,"China, Korea and Russia",1/4/11,1/6/11
121462,Berezovneft,product tanker,Plastun,Russian Federation,"China, Korea and Russia",1/6/11,2/1/11
121462,Berezovneft,product tanker,Vanino,Russian Federation,"China, Korea and Russia",2/1/11,2/8/11
121462,Berezovneft,product tanker,Vladivostok,Russian Federation,"China, Korea and Russia",3/1/11,3/6/11
121462,Berezovneft,product tanker,Nakhodka,Russian Federation,"China, Korea and Russia",3/6/11,3/8/11
121462,Berezovneft,product tanker,Vanino,Russian Federation,"China, Korea and Russia",3/11/11,3/12/11
121462,Berezovneft,product tanker,Plastun,Russian Federation,"China, Korea and Russia",3/12/11,3/30/11
121462,Berezovneft,product tanker,Nakhodka,Russian Federation,"China, Korea and Russia",3/30/11,4/1/11
121462,Berezovneft,product tanker,Nakhodka,Russian Federation,"China, Korea and Russia",4/15/11,4/17/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",4/21/11,4/26/11
121462,Berezovneft,product tanker,Vladivostok,Russian Federation,"China, Korea and Russia",4/30/11,5/1/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",5/18/11,5/21/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",5/24/11,5/25/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",5/27/11,6/1/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",6/2/11,6/4/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",6/12/11,6/14/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",6/17/11,6/18/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",6/24/11,6/26/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",7/9/11,7/10/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",7/12/11,7/13/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",7/15/11,7/19/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",7/19/11,7/21/11
121462,Berezovneft,product tanker,Vanino,Russian Federation,"China, Korea and Russia",7/21/11,7/22/11
121462,Berezovneft,product tanker,Vladivostok,Russian Federation,"China, Korea and Russia",7/27/11,7/28/11
121462,Berezovneft,product tanker,Vladivostok,Russian Federation,"China, Korea and Russia",7/28/11,8/11/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",8/11/11,8/12/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",8/15/11,8/16/11
121462,Berezovneft,product tanker,Nakhodka,Russian Federation,"China, Korea and Russia",8/21/11,8/21/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",8/26/11,8/27/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",8/28/11,8/31/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",9/10/11,9/11/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",9/13/11,9/14/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",9/17/11,9/18/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",9/21/11,9/22/11
121462,Berezovneft,product tanker,Sovetskaya Gavan,Russian Federation,"China, Korea and Russia",9/30/11,10/2/11
121462,Berezovneft,product tanker,Nakhodka,Russian Federation,"China, Korea and Russia",10/30/11,10/31/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",10/31/11,11/7/11
121462,Berezovneft,product tanker,Vladivostok,Russian Federation,"China, Korea and Russia",11/11/11,11/16/11
121462,Berezovneft,product tanker,Vladivostok,Russian Federation,"China, Korea and Russia",12/19/11,12/20/11
121462,Berezovneft,product tanker,Korsakov,Russian Federation,"China, Korea and Russia",12/31/11,12/31/11
145445,American Challenger,tug,New York,United States of America,"U.S, Atlantic coast including part of Canada",1/3/11,1/3/11
145445,American Challenger,tug,Portsmouth(VA USA),United States of America,"U.S, Atlantic coast including part of Canada",1/17/11,1/20/11
145445,American Challenger,tug,Norfolk(USA),United States of America,"U.S, Atlantic coast including part of Canada",1/20/11,2/15/11
145445,American Challenger,tug,Baltimore,United States of America,"U.S, Atlantic coast including part of Canada",2/15/11,5/24/11
145445,American Challenger,tug,Portsmouth(VA USA),United States of America,"U.S, Atlantic coast including part of Canada",5/24/11,9/29/11
