VESSEL ID,VESSEL TYPE,SIZE RANGE,AGE RANGE,CAPACITY
627,Bulk,Handy,>30,16036
4770,Container,Feedermax,>30,2361
5236,Bulk,Handy,>30,20321
6657,Container,Small,>30,75
6756,Bulk,Handy,>30,31364
12437,Container,Small,>30,124
12446,Container,Small,>30,124
12461,Container,Small,>30,124
12670,Container,Small,>30,128
16611,Bulk,Handy,>30,29050
17067,Bulk,Capesize,>30,119500
20652,Container,Small,>30,403
22520,Container,Small,>30,108
25534,Bulk,Handy,>30,26375
26024,Bulk,Small,>30,9152
26231,Container,Small,>30,182
30514,Container,Small,>30,172
32133,Bulk,Handy,>30,17249
35033,Bulk,Handymax,>30,40483
40263,Bulk,Small,>30,7611
41063,Bulk,Handy,>30,16342
42564,Container,Small,>30,436
43444,Bulk,Handy,>30,27738
43573,Bulk,Handy,>30,26308
47330,Bulk,Handy,>30,15254
47715,Container,Feeder,>30,1024
47717,Container,Feeder,>30,1124
50421,Container,Small,>30,122
50772,Container,Small,>30,90
52417,Bulk,Handy,>30,32279
61007,Bulk,Handy,>30,28200
61443,Container,Feedermax,>30,2128
65772,Bulk,Handy,>30,19424
67346,Bulk,Small,>30,6258
67663,Bulk,Handy,>30,26931
71441,Bulk,Handy,>30,16613
72015,Bulk,Handy,>30,11883
73056,Bulk,Handy,>30,21692
73465,Container,Small,>30,150
74544,Bulk,Handymax,>30,56233
75323,Bulk,Small,>30,6150
75343,Bulk,Handy,>30,16929
77035,Bulk,Handy,>30,30882
77654,Container,Small,>30,122
101354,Bulk,Handy,>30,27832
101370,Bulk,Handymax,>30,46565
101372,Bulk,Handy,>30,39817
101402,Bulk,Handymax,>30,40542
101540,Bulk,Handy,>30,17665
101667,Container,Small,>30,168
102530,Bulk,Handy,>30,14200
102635,Container,Small,>30,244
102636,Bulk,Handy,>30,18228
103760,Bulk,Handy,>30,16785
105240,Bulk,Small,>30,5649
105460,Bulk,Handy,>30,39399
105635,Bulk,Handy,>30,17626
106036,Bulk,Handy,>30,18298
111035,Bulk,Handy,>30,17720
112155,Bulk,Handy,>30,24622
113335,Bulk,Handy,>30,19697
113543,Container,Feedermax,>30,2361
115654,Bulk,Handy,>30,14960
116350,Bulk,Handy,>30,33661
117623,Bulk,Handymax,>30,57727
120367,Bulk,Handy,>30,27811
120624,Bulk,Handy,>30,28499
120626,Bulk,Handy,>30,33600
120630,Bulk,Handy,>30,23320
120634,Bulk,Handy,>30,24893
120746,Container,Unspecified,>30,
121122,Bulk,Handy,>30,28820
122322,Bulk,Handy,>30,31091
122333,Bulk,Handy,>30,33680
122434,Bulk,Handy,>30,29992
122476,Bulk,Handy,>30,33438
123164,Bulk,Small,>30,1514
123503,Bulk,Handy,>30,30442
124306,Bulk,Handy,>30,12589
124310,Bulk,Small,>30,7112
124311,Bulk,Handy,>30,15850
124335,Bulk,Handy,>30,34938
124355,Bulk,Panamax,>30,61564
